SEQN,RIAGENDR,RIDAGEYR,RIDRETH3,RIDRETH1,RIDEXPRG,DMDEDUC2,DMDMARTZ,DMDBORN4,INDFMPIR,WTMECPRP,WTINTPRP,SDMVPSU,SDMVSTRA,gender,ethnicity,education,marital_status,pregnancy_status,country_of_birth
109266,2.0,29.0,6.0,5.0,2.0,5.0,3.0,2.0,5.0,8154.968193,7825.646112,2.0,168.0,Female,Non-Hispanic Asian,College graduate or above,Never married,Not pregnant,Born in Mexico
109267,2.0,21.0,2.0,2.0,3.0,4.0,3.0,2.0,5.0,5.397605346934028e-79,26379.991724,1.0,156.0,Female,Other Hispanic,Some college / AA,Never married,Cannot determine,Born in Mexico
109268,2.0,18.0,3.0,3.0,,,,1.0,1.66,5.397605346934028e-79,19639.221008,1.0,155.0,Female,Non-Hispanic White,,,,Born in 50 US states or DC
109271,1.0,49.0,3.0,3.0,,2.0,3.0,1.0,,8658.732873,8481.589837,1.0,167.0,Male,Non-Hispanic White,9-11th grade,Never married,,Born in 50 US states or DC
109273,1.0,36.0,3.0,3.0,,4.0,3.0,1.0,0.83,22163.59685,20171.847767,1.0,155.0,Male,Non-Hispanic White,Some college / AA,Never married,,Born in 50 US states or DC
109283,1.0,52.0,7.0,5.0,,3.0,2.0,1.0,0.96,5.397605346934028e-79,42539.680445,2.0,149.0,Male,Other/Multiracial,High school / GED,Widowed / Divorced / Separated,,Born in 50 US states or DC
109284,2.0,44.0,1.0,1.0,2.0,2.0,1.0,2.0,,13794.793542,13822.803724,1.0,154.0,Female,Mexican American,9-11th grade,Married / Living with partner,Not pregnant,Born in Mexico
109286,2.0,33.0,6.0,5.0,1.0,5.0,1.0,2.0,1.36,14547.467164,13776.534942,2.0,154.0,Female,Non-Hispanic Asian,College graduate or above,Married / Living with partner,"Yes, pregnant",Born in Mexico
109291,2.0,42.0,6.0,5.0,2.0,5.0,1.0,1.0,,17228.617805,15845.543149,1.0,161.0,Female,Non-Hispanic Asian,College graduate or above,Married / Living with partner,Not pregnant,Born in 50 US states or DC
109292,1.0,58.0,2.0,2.0,,3.0,2.0,1.0,1.6,17463.112885,15941.778001,2.0,150.0,Male,Other Hispanic,High school / GED,Widowed / Divorced / Separated,,Born in 50 US states or DC
109293,1.0,44.0,3.0,3.0,,3.0,3.0,1.0,0.02,12160.980466,12006.07013,2.0,163.0,Male,Non-Hispanic White,High school / GED,Never married,,Born in 50 US states or DC
